product,price,k_price,star
"WonderSlim Core 1 Week Diet Kit 35 Meals - Meal Replacements, Protein Supplements, and Snacks",89.99,116338.2,3.7
Nutrisystem® Fast Five 7-Day Diet Kit with 28 Delicious Meals & Snacks Plus Protein and Probiotic Shakes,98.94,127908.6,4.8
Nutrisystem® Fast Five 7-Day Diet Kit with 28 Delicious Meals & Snacks Plus Protein and Probiotic Shakes,98.94,127908.6,4.8
Nutrisystem® Fast Five 7-Day Diet Kit with 28 Delicious Meals & Snacks Plus Protein and Probiotic Shakes,98.94,127908.6,4.8
"Verve Culture Thai for Two - Organic Thai Curry Cooking Sampler Kit | USDA Organic, Vegan, Gluten-Free | Made in Thailand",35.0,45247.7,4.5
Pasta Making Kit + Free Video Master Class – Make Homemade Ravioli with Premium Ingredients & Pasta Cutter – Best Gift for Pasta Lovers – Pasta Kit Serves 4,45.95,59403.7,3.8
"Velveeta Skillets Creamy Beef Stroganoff One Pan Dinner Kit with Cheese Sauce (Pasta & Seasonings, 11.6 oz Box)",3.38,4369.6,4.5
"Frontier Soups Homemade In Minutes Soup Mix, South of The Border Tortilla, 4.5 oz",7.6,9825.2,4.5
"Lakma Tea 14 Days Weight Loss Kit - 42 Tea Bags (100% Natural, Sugar Free, Gluten Free And Non-GMO)",11.64,15048.1,4.7
"Lakma Tea 14 Days Weight Loss Kit - 42 Tea Bags (100% Natural, Sugar Free, Gluten Free And Non-GMO)",11.64,15048.1,4.7
"Lakma Tea 14 Days Weight Loss Kit - 42 Tea Bags (100% Natural, Sugar Free, Gluten Free And Non-GMO)",11.64,15048.1,4.7
"Quinn Movie Night Organic Microwave Popcorn Kit, Variety Gift Pack - Real Butter (3), Parmesan & Rosemary (3), White Cheddar (3), Non-GMO, Gluten Free, Gourmet Popcorn Kernels (9 Bags)",25.97,33573.8,4.3
"Quinn Movie Night Organic Microwave Popcorn Kit, Variety Gift Pack - Real Butter (3), Parmesan & Rosemary (3), White Cheddar (3), Non-GMO, Gluten Free, Gourmet Popcorn Kernels (9 Bags)",25.97,33573.8,4.3
"Tasty Organic Chocolate Meal Replacement Shake Vegan - Garden of Life - 20g Complete Plant Based Protein, Greens, Rice Protein, Pro & Prebiotics for Easy Digestion – Non-GMO, Gluten-Free, 2.4 LB",45.8,59209.8,4.4
"Tasty Organic Chocolate Meal Replacement Shake Vegan - Garden of Life - 20g Complete Plant Based Protein, Greens, Rice Protein, Pro & Prebiotics for Easy Digestion – Non-GMO, Gluten-Free, 2.4 LB",45.8,59209.8,4.4
"Tasty Organic Chocolate Meal Replacement Shake Vegan - Garden of Life - 20g Complete Plant Based Protein, Greens, Rice Protein, Pro & Prebiotics for Easy Digestion – Non-GMO, Gluten-Free, 2.4 LB",45.8,59209.8,4.4
Nutrisystem® Fast Five 7-Day Diet Kit with 28 Delicious Meals & Snacks Plus Protein and Probiotic Shakes,98.94,127908.6,4.6
Nutrisystem® Fast Five 7-Day Diet Kit with 28 Delicious Meals & Snacks Plus Protein and Probiotic Shakes,98.94,127908.6,4.6
Taco Bell Crunchy Taco Dinner Kit (12 Count per Box),4.86,6283.0,4.4
"Duff Goldman DIY Baking Set for Kids by Baketivity - Bake Delicious S’mores Sandwich Cookies with Premeasured Ingredients | Best Family Fun Activity, Great Gift for Girls, Boys, Teens, and Adults",28.49,36831.6,4.4
"Old El Paso Stand 'N Stuff Shells and Tortilla Bowls, Hard & Soft Taco Dinner Kit, 9.4 oz.",5.52,7136.2,4.5
"HM Mountain House Adventure Meal KIT, Breakfast - Lunch - Dinner, 13 Pouches",112.0,144792.5,4.3
"HM Mountain House Adventure Meal KIT, Breakfast - Lunch - Dinner, 13 Pouches",112.0,144792.5,4.3
"HM Mountain House Adventure Meal KIT, Breakfast - Lunch - Dinner, 13 Pouches",112.0,144792.5,4.3
"Huel Starter Kit - Includes 2 Pouches of Nutritionally Complete 100% Vegan Powdered Meal, Scoop, Shaker and Booklet (7.7lbs of Powder - 28 Meals) (Vanilla)",118.98,153816.2,4.7
"Huel Starter Kit - Includes 2 Pouches of Nutritionally Complete 100% Vegan Powdered Meal, Scoop, Shaker and Booklet (7.7lbs of Powder - 28 Meals) (Vanilla)",118.98,153816.2,4.7
"Huel Starter Kit - Includes 2 Pouches of Nutritionally Complete 100% Vegan Powdered Meal, Scoop, Shaker and Booklet (7.7lbs of Powder - 28 Meals) (Vanilla)",118.98,153816.2,4.7
"BUMBLE BEE Snack on the Run! Tuna Salad with Crackers Kit, High Protein Snack Food, Tuna Salad Multi-Pack, Healthy Snacks for Adults, 3.5 Ounce Kit (Pack of 3)",4.7,6076.1,4.3
"BUMBLE BEE Snack on the Run! Tuna Salad with Crackers Kit, High Protein Snack Food, Tuna Salad Multi-Pack, Healthy Snacks for Adults, 3.5 Ounce Kit (Pack of 3)",4.7,6076.1,4.3
"BUMBLE BEE Snack on the Run! Tuna Salad with Crackers Kit, High Protein Snack Food, Tuna Salad Multi-Pack, Healthy Snacks for Adults, 3.5 Ounce Kit (Pack of 3)",4.7,6076.1,4.3
"Amazing Grass Greens Blend Alkalize & Detox: Smoothie Mix, Cleanse with Super Greens & Beet Root Powder, Digestive Enzymes, Prebiotics & Probiotics, 30 Servings (Packaging May Vary)",24.47,31634.6,4.4
"Betty Crocker Suddenly Pasta Salad, 15 Oz",3.94,5093.6,4.6
"Harmony House Backpacking Soup and Chili Kit (Unseasoned) – 18 Count Variety Pack, Resealable Zip Pouches, For Cooking, Camping, Emergency Supply and More",69.95,90430.7,4.6
"Harmony House Backpacking Soup and Chili Kit (Unseasoned) – 18 Count Variety Pack, Resealable Zip Pouches, For Cooking, Camping, Emergency Supply and More",69.95,90430.7,4.6
"Harmony House Backpacking Soup and Chili Kit (Unseasoned) – 18 Count Variety Pack, Resealable Zip Pouches, For Cooking, Camping, Emergency Supply and More",69.95,90430.7,4.6
